"interval","exposure_type","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent"
"BL_to_F1","ipaq_direction","M3","hxstroke_fctyes",0.073785803413544,0.192931791119849,0.382445023628627,0.702131299835736,1.07657618185449,0.737600035467931,1.57133435412746,10746,2656
"BL_to_F1","ipaq_direction","M3","cancerhx_fctyes",0.507365881250513,0.118156784007202,4.29400550728927,0.0000175478118270914,1.66091039249591,1.31756171134544,2.09373368104626,10746,2656
"BL_to_F1","met_change_sd","M1","met_change_sd",0.00285516382311601,0.032133581581948,0.0888529595070093,0.929198768492254,1.00285924368531,0.941646350708034,1.06805135695461,18051,3926
"BL_to_F1","met_change_sd","M1","age_landmark_5",0.580296601464414,0.0115370706908686,50.298435106557,0,1.78656825093297,1.74662326037065,1.82742677694808,18051,3926
"BL_to_F1","met_change_sd","M1","sex_fctmale",0.548094971926974,0.0325393444830072,16.8440692532452,0.00000000000000000000000000000000000000000000000000000000000000115979392823227,1.72995426531644,1.62306936870898,1.84387791291202,18051,3926
"BL_to_F1","met_change_sd","M1","phase_fct2",-0.0730172410309097,0.0395388180389549,-1.84672290807911,0.064787309842568,0.929584802887311,0.860267492437689,1.00448745693088,18051,3926
"BL_to_F1","met_change_sd","M1","phase_fct3",-0.0242565344442567,0.0411898965982714,-0.588895249746138,0.555931544523147,0.976035290967817,0.90033600332426,1.05809929370505,18051,3926
"BL_to_F1","met_change_sd","M3","met_change_sd",-0.011433800338553,0.0811745598401757,-0.140854479051873,0.887984903976551,0.988631317140165,0.843215251188107,1.1591250037913,10745,2656
"BL_to_F1","met_change_sd","M3","age_landmark_5",0.535793612117981,0.0162871865365673,32.8966338609212,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000245548360717586,1.70880383170505,1.65511635765338,1.76423278142804,10745,2656
"BL_to_F1","met_change_sd","M3","sex_fctmale",0.366103080659604,0.058112441814809,6.2999087497698,0.000000000297820921329744,1.44210388801315,1.28685954324286,1.61607662214784,10745,2656
"BL_to_F1","met_change_sd","M3","phase_fct2",NA,0,NA,NA,NA,NA,NA,10745,2656
"BL_to_F1","met_change_sd","M3","phase_fct3",0.0288804632851813,0.0522391585741186,0.552850851228867,0.580365544574421,1.0293015477954,0.929130193668949,1.14027257268478,10745,2656
"BL_to_F1","met_change_sd","M3","edu_fctjunior_college",-0.103871295515401,0.124023458828315,-0.83751329382927,0.402304107658704,0.901341296623266,0.706838684561593,1.14936569084699,10745,2656
"BL_to_F1","met_change_sd","M3","edu_fctsenior_middle",0.0114859959261806,0.102083089802559,0.112516146879918,0.910414167678937,1.01155221325854,0.828123332398207,1.23561049437528,10745,2656
"BL_to_F1","met_change_sd","M3","edu_fctjunior_middle",0.00119205120064389,0.0995408473939297,0.0119754978167544,0.990445163565202,1.00119276197608,0.823736629396684,1.21687795693563,10745,2656
"BL_to_F1","met_change_sd","M3","edu_fctprimary",0.0739459656632512,0.0983149312574718,0.752133625253707,0.451970704482938,1.07674862252663,0.888031770762817,1.30556995175644,10745,2656
"BL_to_F1","met_change_sd","M3","edu_fctlt_primary",0.121907761493052,0.111250660756982,1.09579359496434,0.273169112112067,1.12964989975455,0.908337269791467,1.40488443935414,10745,2656
"BL_to_F1","met_change_sd","M3","incomeh_fct30000_band",0.0263261879889233,0.077864007128303,0.338104715642793,0.735284277027756,1.02667578316993,0.881364096813887,1.19594520307557,10745,2656
"BL_to_F1","met_change_sd","M3","incomeh_fct20000_band",0.146421936717871,0.0747662692783326,1.9583956526276,0.0501836045049857,1.15768455463497,0.999882748548405,1.34039069079456,10745,2656
"BL_to_F1","met_change_sd","M3","incomeh_fct10000_band",0.240977283250372,0.0800146125965663,3.01166593738796,0.00259818353549052,1.27249212809481,1.08779370852832,1.48855081930373,10745,2656
"BL_to_F1","met_change_sd","M3","incomeh_fct5000_band",0.209586842909505,0.104949810279844,1.99701974068034,0.0458230385781487,1.23316846239806,1.00389656652869,1.51480193015456,10745,2656
