"outcome","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent"
"all_cause","S2_M3_ic5_syn","ic5_per1lower",0.138830330825583,0.0262918068171086,5.28036478403012,1.28926941588041e-07,1.1489291456056,1.09122327365479,1.20968660904827,5083,902
"all_cause","S2_M3_ic5_syn","agec_5",0.498416807855882,0.0269995331180132,18.4602009848591,4.31732141411093e-76,1.64611309330428,1.56126859910644,1.73556831764798,5083,902
"all_cause","S2_M3_ic5_syn","sex_fctmale",0.709977517576742,0.1036395820832,6.85044751537866,7.36193185492207e-12,2.03394553010842,1.66004991189139,2.49205423873947,5083,902
"all_cause","S2_M3_ic5_syn","phase_fct2",NA,0,NA,NA,NA,NA,NA,5083,902
"all_cause","S2_M3_ic5_syn","phase_fct3",NA,0,NA,NA,NA,NA,NA,5083,902
"all_cause","S2_M3_ic5_syn","edu_fctjunior_college",0.161228963301014,0.221650503216386,0.727401747171378,0.466979884514069,1.17495395935529,0.760942075616813,1.81422062314748,5083,902
"all_cause","S2_M3_ic5_syn","edu_fctsenior_middle",0.147421675102067,0.194920108029091,0.756318455764785,0.449458285375971,1.15884251505332,0.79087550221961,1.69801185006512,5083,902
"all_cause","S2_M3_ic5_syn","edu_fctjunior_middle",0.222839372980399,0.19196758074927,1.1608177386548,0.24571602761129,1.24961983490466,0.857777813643252,1.82045945575901,5083,902
"all_cause","S2_M3_ic5_syn","edu_fctprimary",0.0449428197206498,0.192528889359733,0.233434160816644,0.8154242892752,1.04596804945348,0.717195458591547,1.5254546684192,5083,902
"all_cause","S2_M3_ic5_syn","edu_fctlt_primary",0.128261788734376,0.216466544461142,0.592524766603833,0.553499241206169,1.13685057841847,0.743783826411359,1.73764095393979,5083,902
"all_cause","S2_M3_ic5_syn","incomeh_fct30000_band",0.0723045314143056,0.113218220641924,0.638629815981507,0.523063780034425,1.07498266021213,0.861053100468958,1.34206324688613,5083,902
"all_cause","S2_M3_ic5_syn","incomeh_fct20000_band",0.299787435921932,0.114627584509852,2.61531669888906,0.00891447555674719,1.34957190657655,1.07801512030759,1.68953505077088,5083,902
"all_cause","S2_M3_ic5_syn","incomeh_fct10000_band",0.304768558157004,0.128047934309604,2.38011303970052,0.0173073279374784,1.3563110595465,1.05527270176881,1.74322683337182,5083,902
"all_cause","S2_M3_ic5_syn","incomeh_fct5000_band",0.231051957016449,0.201651521627923,1.14579823227307,0.251878646782138,1.259924699677,0.848591160529406,1.87064198013312,5083,902
"all_cause","S2_M3_ic5_syn","incomeh_fctlt5000",-0.0869852185126053,0.2440864264459,-0.356370568323613,0.721563067520817,0.91669064558423,0.568140902375785,1.4790727725951,5083,902
"all_cause","S2_M3_ic5_syn","incomeh_fctnotknow",0.296962738597592,0.122440485071187,2.42536395069766,0.0152930466092607,1.34576515341692,1.0586386577785,1.71076678037786,5083,902
"all_cause","S2_M3_ic5_syn","marital_fctseparate",0.564661984727253,0.275679125226362,2.04825804008049,0.0405347220824947,1.75885316300059,1.02463948420447,3.01917356952043,5083,902
"all_cause","S2_M3_ic5_syn","marital_fctwidow",0.0266929606555531,0.0971610747236403,0.274728956338505,0.783524482901783,1.02705240884847,0.848963363187829,1.24249961336443,5083,902
"all_cause","S2_M3_ic5_syn","marital_fctnever_married",-0.0242649539537845,0.465290751064778,-0.0521500887310918,0.958409102198589,0.97602707326398,0.392107960221908,2.42950652469571,5083,902
"all_cause","S2_M3_ic5_syn","syn_fctever",0.425835515749595,0.0933926447240253,4.5596258357169,5.12448428872207e-06,1.53086895059142,1.27479998993994,1.83837446060484,5083,902
"all_cause","S2_M3_ic5_syn","drk1_fctlt1_month",-0.0249428049236666,0.0802078040100025,-0.310977282466879,0.75581789193854,0.975365696548485,0.833478633275468,1.14140687478078,5083,902
"all_cause","S2_M3_ic5_syn","drk1_fctlt1_week",-0.354202733263508,0.20754317852496,-1.7066459894316,0.0878878716921219,0.701732688375515,0.467208390547578,1.05398099840971,5083,902
"all_cause","S2_M3_ic5_syn","drk1_fct1to4_week",-0.0716040431248814,0.162638784321741,-0.440264254455016,0.659745726937728,0.930899418871717,0.676806272479661,1.28038666793199,5083,902
"all_cause","S2_M3_ic5_syn","drk1_fctge5_week",0.0779482584529244,0.126366406651883,0.616843198427395,0.53733815557675,1.0810667211583,0.843896563121046,1.38489159296212,5083,902
"all_cause","S2_M3_ic5_syn","drk1_fctex_drinker",0.0675396344953357,0.162874067925347,0.414673958572044,0.678380598517648,1.06987266262064,0.777487530768703,1.47221333966769,5083,902
"all_cause","S2_M3_ic5_syn","walk_any_fctyes",0.121105571304319,0.18607780816095,0.650832963378244,0.515154319008783,1.12874406906108,0.783800910935484,1.62549335636769,5083,902
"all_cause","S2_M3_ic5_syn","bmi",-0.027381246922374,0.0109558751963239,-2.49922953955897,0.0124463664022483,0.972990221276305,0.952319808099192,0.994109292537897,5083,902
"all_cause","S2_M3_ic5_syn","hyp_fctyes",0.098979914111214,0.0727876847540308,1.35984424351034,0.173879218190614,1.10404412362869,0.957258961912168,1.2733371798204,5083,902
"all_cause","S2_M3_ic5_syn","diab_fctyes",0.506742463340791,0.0883301258908246,5.73691544340287,9.64163618617614e-09,1.65987527390004,1.39601060057282,1.97361389933158,5083,902
"all_cause","S2_M3_ic5_syn","hxchd_fctyes",-0.00319768702563472,0.172067038212147,-0.0185839604078742,0.985172998367969,0.996807420130376,0.711455160266957,1.39660949602803,5083,902
"all_cause","S2_M3_ic5_syn","hxstroke_fctyes",0.298101873311077,0.233957466528825,1.27417123177964,0.20260273826564,1.34729903470222,0.851763532235714,2.13112515411988,5083,902
"all_cause","S2_M3_ic5_syn","cancerhx_fctyes",0.824165122462189,0.207144705522685,3.97869267468162,6.92952430297679e-05,2.27997646937194,1.51917733299659,3.42178137336741,5083,902
"all_cause","S3_M3_ic5_hxht_hxdm","ic5_per1lower",0.131872009276968,0.0262594843704495,5.02188113889116,5.11678463172989e-07,1.1409622773346,1.08372520034013,1.20122233744494,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","agec_5",0.511480579560896,0.0269327580212278,18.9910212373259,2.02354763594484e-80,1.66775861720881,1.58200549665193,1.75816001345171,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","sex_fctmale",0.657061307070421,0.110277069886311,5.95827679995319,2.54911494925819e-09,1.92911492002327,1.55413981940112,2.39456214183512,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","phase_fct2",NA,0,NA,NA,NA,NA,NA,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","phase_fct3",NA,0,NA,NA,NA,NA,NA,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","edu_fctjunior_college",0.0763357894518902,0.22181275476866,0.344145175652793,0.730737110220287,1.07932493924445,0.698787058005584,1.66709201484057,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","edu_fctsenior_middle",0.0673462784447699,0.194716070158524,0.345869133399936,0.729441066628183,1.06966581626613,0.730307057710968,1.56671765171564,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","edu_fctjunior_middle",0.145463134928531,0.191586262168531,0.759256604738042,0.447699071046196,1.15657509657267,0.794502585427119,1.68365210956862,5112,908
